;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;670.552;165.157;0.8745059999999999;668.53;274.77299999999997;0.8849799999999999;586.245;274.871;0.7751170000000001;558.841;409.967;0.8482350000000001;603.854;503.964;0.852879;756.679;274.7;0.789529;786.064;407.974;0.788732;742.944;503.983;0.8470850000000001;668.566;521.648;0.6459600000000001;617.636;521.5790000000001;0.607245;635.316;674.45;0.209754;0.0;0.0;0.0;725.3489999999999;523.5409999999999;0.56734;707.755;682.2660000000001;0.226223;0.0;0.0;0.0;652.878;149.39600000000002;0.950734;693.971;149.411;0.907632;631.375;165.08700000000002;0.904869;713.567;165.125;0.9290649999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000000_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.350616714204829;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;
35;35;668.539;176.854;0.892257;676.365;274.811;0.8484139999999999;592.129;276.73900000000003;0.7506430000000001;558.906;413.827;0.8752409999999999;621.566;460.86199999999997;0.8469549999999999;758.6469999999999;274.779;0.81225;784.122;411.954;0.8396469999999999;721.428;472.659;0.794082;672.4889999999999;515.768;0.659749;619.581;511.855;0.6585529999999999;623.521;574.505;0.132063;0.0;0.0;0.0;727.2860000000001;515.7769999999999;0.621694;721.485;633.306;0.0643735;0.0;0.0;0.0;650.886;161.071;0.918552;686.2080000000001;157.22299999999998;0.851718;633.202;172.925;0.874233;713.5419999999999;167.05599999999998;0.934005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000210_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000210_rendered.png;0.0033573033652695736;0.17146524643523464;0.005810495332577353;0.03660092221410036;0.00010575785229527401;4.432437977919257e-05;0.009415347022723695;0.004400578853178506;0.4839781975096931;0.009415347022723695;0.14857187735656524;8.864875955831195e-05;0.8165535537469683;0.68;1.0;0.9830233915888936;0.30226390779004764;0.9800008864875955;0.30226390779004764;0.9468218864788159;0.6613941769302143;1.7159395565231836;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000210_rendered.png;;
71;71;670.558;174.817;0.784841;670.4939999999999;278.74;0.759968;590.263;284.58099999999996;0.692344;574.585;417.814;0.6476029999999999;643.065;511.825;0.599757;748.903;274.869;0.720244;772.395;398.218;0.595057;743.023;478.49800000000005;0.437384;678.288;513.778;0.467326;621.54;515.757;0.422098;639.169;666.5939999999999;0.136327;0.0;0.0;0.0;727.325;511.825;0.434021;735.186;629.384;0.092112;0.0;0.0;0.0;652.965;155.248;0.810589;690.1160000000001;157.236;0.807181;633.2330000000001;165.05700000000002;0.849174;713.563;165.15;0.849175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000426_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000426_rendered.png;0.007725915825546689;0.2845893241052712;0.010662366366879006;0.08427967218419238;0.0006413892660991349;0.0002601450145053308;0.022809866922255163;0.008340011414949887;1.168339026737742;0.022809866922255163;0.3111245460576552;0.0005202900290109902;0.8167077358777177;0.68;1.0;0.9830291437113503;0.30247276788860966;0.9800052029002901;0.30247276788860966;0.9468737047660323;0.6622883751389267;5.255268559007676;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000426_rendered.png
72;72;370.756;210.149;0.93479;364.88;290.38599999999997;0.871036;290.538;288.54200000000003;0.8031229999999999;259.089;384.42800000000005;0.899019;358.99800000000005;335.593;0.813974;429.57199999999995;290.363;0.868864;480.565;398.218;0.881367;398.214;337.435;0.8611700000000001;372.744;496.144;0.609883;331.55800000000005;496.21;0.560194;251.273;476.54;0.7093550000000001;413.892;560.802;0.547175;417.82300000000004;494.139;0.6033430000000001;541.154;478.631;0.7699010000000001;364.89300000000003;554.943;0.42361400000000005;355.07800000000003;196.34099999999998;0.9112879999999999;384.43800000000005;196.321;0.9521209999999999;325.741;204.22400000000002;0.837694;398.246;204.248;0.576183;288.524;541.251;0.211225;290.45799999999997;552.948;0.18800899999999998;333.51599999999996;564.758;0.17823699999999998;492.24;554.971;0.588616;480.529;562.774;0.488521;429.57300000000004;570.6669999999999;0.21287399999999998;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000432_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000432_rendered.png;0.35012346472917455;21.790814340065747;0.19740765108613256;4.290796932830252;1.1322272418796837;0.28115446012793655;0.7498726026838644;0.4057400074314287;9.068638008146797;0.7498726026838644;8.981938217673667;0.5623089202558726;0.8826862725199596;1.0;1.0;0.9881802662903328;0.3557338740989093;0.9856230892025587;0.3557338740989093;0.967842150210037;1.0203502278176337;5.378460066992981;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000432_rendered.png
100;100;368.91;210.148;0.948441;364.86800000000005;288.575;0.873217;290.52;288.53700000000003;0.807728;259.063;384.426;0.9050379999999999;360.957;335.586;0.820716;429.594;290.393;0.8711030000000001;482.491;398.20099999999996;0.8763129999999999;398.275;337.462;0.8764559999999999;368.838;496.168;0.622224;325.755;496.20599999999996;0.561231;251.275;474.531;0.739851;415.847;560.793;0.494762;413.923;494.22;0.620713;541.312;478.539;0.820658;364.903;556.887;0.479141;353.25699999999995;196.36599999999999;0.932466;384.43199999999996;196.38;0.956859;325.73400000000004;204.247;0.8385600000000001;398.23199999999997;208.16099999999997;0.637811;319.841;547.135;0.146831;325.692;556.89;0.185247;331.58;566.682;0.189555;494.185;554.971;0.6321829999999999;484.408;562.789;0.5420590000000001;437.392;570.565;0.19635;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000600_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;0.010455505110021865;0.550153151352628;0.00900786742332664;0.1421604210127734;0.003654048156554235;0.00031624270700381096;0.025149262693121954;0.00962846719266556;0.6474811842779433;0.025149262693121954;0.30030124840837696;0.0006324854140076558;0.8529520585501976;1.0;1.0;0.9837706661623914;0.37655321303255695;0.98000632485414;0.37655321303255695;0.9586811227562686;0.946960058312887;6.2312802921816965;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;
112;112;668.581;214.05;0.891382;666.556;310.091;0.865765;590.173;310.036;0.783605;556.929;433.523;0.84001;523.515;482.49300000000005;0.8353799999999999;743.0360000000001;310.07599999999996;0.7892779999999999;776.317;443.224;0.8878889999999999;813.5160000000001;488.31;0.803355;666.573;533.359;0.666694;619.569;529.503;0.616738;504.022;525.597;0.7011310000000001;737.1080000000001;611.768;0.555671;713.5930000000001;531.395;0.638354;821.336;539.254;0.680424;623.535;599.9540000000001;0.540552;652.919;198.38099999999997;0.902747;686.193;198.44099999999997;0.871808;633.38;214.033;0.916423;711.577;214.042;0.9245450000000001;576.464;603.936;0.5079319999999999;584.302;607.8340000000001;0.508714;611.752;603.859;0.16511800000000001;784.12;603.88;0.567825;774.4019999999999;613.68;0.518934;746.9580000000001;615.637;0.273903;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000702_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000702_rendered.png;0.18053395218655474;10.966000841472585;0.15275903679989036;2.3912213543370964;0.6400187072419401;0.08202945245556825;0.4050418557521394;0.1962672789498884;11.786089264187952;0.4050418557521394;5.184198732538517;0.16405890491113692;0.8613889503466777;1.0;1.0;0.9850516113808859;0.3715829817088282;0.9816405890491113;0.3715829817088282;0.9613268423558181;0.9692275899972564;5.853190010060508;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000702_rendered.png
113;113;668.6360000000001;214.12599999999998;0.864208;666.576;312.013;0.865949;590.182;308.14599999999996;0.79397;556.923;431.57199999999995;0.858131;523.516;486.349;0.859203;743.082;313.936;0.78555;774.432;445.11400000000003;0.897875;815.497;488.327;0.7779560000000001;664.702;533.375;0.677559;617.681;531.399;0.614474;507.908;527.507;0.670555;739.08;611.77;0.565719;711.681;529.501;0.646893;823.403;537.29;0.681933;629.396;600.001;0.5315270000000001;652.97;198.452;0.885709;686.237;200.35;0.857498;635.172;212.195;0.9395600000000001;709.738;214.104;0.9164059999999999;580.4159999999999;605.852;0.45886000000000005;586.237;609.765;0.473954;617.653;602.01;0.13578800000000002;786.12;603.898;0.575499;776.309;613.688;0.547193;750.8539999999999;615.63;0.280756;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000708_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000708_rendered.png;0.0014790919009805904;0.08168087117027281;0.0012286003289690983;0.02006481997712136;7.513452139640275e-05;6.011320005883114e-06;0.0034673678795242484;0.0013292253192931335;0.15381981354896385;0.0034673678795242484;0.04370804651207854;1.2022640011956482e-05;0.8525695210450569;1.0;1.0;0.9837572729803461;0.3757175339529139;0.9800001202264;0.3757175339529139;0.9585602709332036;0.9436602442333555;5.6671830797507745;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000708_rendered.png
148;148;668.6360000000001;223.831;0.8711540000000001;666.57;319.758;0.89033;590.172;317.849;0.786592;570.566;439.375;0.848247;539.1659999999999;478.631;0.8815629999999999;743.0830000000001;319.834;0.810559;772.3810000000001;447.18199999999996;0.8879440000000001;809.6030000000001;488.358;0.8510969999999999;666.6089999999999;533.3969999999999;0.657806;619.5790000000001;529.488;0.616725;504.02099999999996;523.59;0.7695310000000001;741.073;609.771;0.576148;713.666;533.37;0.638065;831.1439999999999;527.539;0.6121449999999999;629.394;601.8969999999999;0.567449;652.87;208.115;0.886301;686.21;208.12900000000002;0.86687;633.308;216.024;0.906551;709.712;217.942;0.8852059999999999;578.465;611.726;0.5487989999999999;588.1709999999999;617.575;0.588041;617.673;603.896;0.153134;786.102;603.9630000000001;0.558429;776.32;615.627;0.550037;758.6360000000001;611.743;0.280244;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000918_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000918_rendered.png;0.0009844389727849297;0.0470305838444607;0.0019267617906042755;0.013371383591609755;7.088679149025445e-05;5.565900448201155e-06;0.0033364353577871866;0.0012032755058327229;0.23795879371110654;0.0033364353577871866;0.045444497131540244;1.1131800896692513e-05;0.8527551787365789;1.0;1.0;0.9837617785239725;0.3761688143145288;0.980000111318009;0.3761688143145288;0.9586189339258063;0.9453616206024393;0.700339836009603;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000918_rendered.png;;
200;200;668.54;198.43599999999998;0.8923840000000001;668.561;300.26599999999996;0.8319700000000001;599.942;294.339;0.7930649999999999;566.64;415.906;0.8496299999999999;529.4490000000001;486.333;0.840081;743.076;302.16700000000003;0.814858;772.41;419.789;0.8335790000000001;792.029;482.43199999999996;0.87125;666.552;531.431;0.675243;617.626;529.482;0.616397;498.106;529.466;0.71716;742.9760000000001;611.715;0.609402;713.6669999999999;527.535;0.63866;825.317;525.531;0.720952;629.354;596.09;0.5156029999999999;654.862;190.521;0.8597629999999999;688.127;192.429;0.8606959999999999;635.369;212.02599999999998;0.888756;713.543;212.138;0.924118;578.471;607.86;0.412634;586.194;613.6990000000001;0.43719300000000005;617.594;600.012;0.120574;786.085;605.873;0.5443560000000001;776.289;615.6619999999999;0.5876560000000001;756.705;611.74;0.311514;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001230_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001230_rendered.png;0.0013341369883608685;0.08682597403794391;0.001329135428083994;0.018061348611519715;6.039112601197161e-05;5.67885320024164e-06;0.0033701196418502014;0.001438003945928108;0.16446241940747125;0.0033701196418502014;0.04600111544102118;1.1357706400384528e-05;0.8522669108837375;1.0;1.0;0.9837499342276964;0.37498419454343346;0.980000113577064;0.37498419454343346;0.9584646146296356;0.9408932299451622;1.0342359367794798;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001230_rendered.png;
267;267;664.544;200.299;0.8973180000000001;668.597;266.944;0.822408;613.71;262.997;0.787604;570.618;386.431;0.862749;527.56;484.406;0.852095;729.367;268.913;0.797647;772.3660000000001;386.52;0.825263;819.383;476.51800000000003;0.815398;664.709;529.456;0.691129;617.67;527.563;0.626034;500.074;529.472;0.7017399999999999;737.1419999999999;611.7130000000001;0.557345;711.701;525.578;0.670311;829.227;525.6;0.573573;631.331;601.905;0.49917399999999995;648.977;192.52;0.9529850000000001;680.357;192.47799999999998;0.9302290000000001;633.281;212.079;0.883468;709.671;212.046;0.925776;582.331;607.8290000000001;0.43026099999999995;586.226;613.69;0.442528;619.5459999999999;603.888;0.11573800000000001;780.24;601.939;0.584496;774.317;609.776;0.574384;748.882;615.609;0.288718;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001632_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001632_rendered.png;0.001066578834153159;0.07065868930906136;0.0013572301332312256;0.014406267626377048;3.198171780605108e-05;3.2051449880832195e-06;0.0025318550464887347;0.0011888022993910158;0.18002154170884563;0.0025318550464887347;0.037649956048120437;6.410289976430474e-06;0.8519289737946397;1.0;1.0;0.9837417385985273;0.3741686488275349;0.9800000641028997;0.3741686488275349;0.9583577336102775;0.9378125895445281;0.4934518284771222;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001632_rendered.png;;
300;300;670.492;259.056;0.9137959999999999;668.5930000000001;288.45799999999997;0.861783;607.81;282.633;0.77464;560.849;394.29900000000004;0.801261;519.624;484.403;0.819757;731.309;288.482;0.807125;774.352;400.24199999999996;0.8811329999999999;821.317;490.30800000000005;0.847376;666.547;529.474;0.685261;617.649;527.56;0.627314;505.98400000000004;525.616;0.6899810000000001;735.168;611.722;0.600166;713.5980000000001;527.479;0.6604720000000001;839.005;533.37;0.5642729999999999;629.386;601.904;0.5307970000000001;656.7769999999999;241.544;0.919127;688.155;243.34400000000002;0.9181739999999999;635.271;227.707;0.877669;711.55;229.75599999999997;0.843076;582.326;609.756;0.497065;586.26;613.729;0.50627;617.658;603.903;0.126888;782.227;603.955;0.570208;774.368;615.62;0.577148;745.0269999999999;615.606;0.30223;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001830_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001830_rendered.png;0.0029772513553083073;0.2268789157739636;0.003801513004728453;0.0404721566292117;0.00024320593596238727;3.700668614969871e-05;0.00860310248104899;0.004281591764272743;0.2991512828373007;0.00860310248104899;0.14939381808417038;7.401337229943129e-05;0.8528795386726195;1.0;1.0;0.9837652197585741;0.3764618940922733;0.980000740133723;0.3764618940922733;0.9586582181553436;0.9464810080074058;1.1732336633986253;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001830_rendered.png;
307;307;601.854;237.53799999999998;0.772273;509.849;429.58099999999996;0.588046;366.827;413.913;0.407569;0.0;0.0;0.0;0.0;0.0;0.0;674.445;417.79699999999997;0.478184;817.4680000000001;666.56;0.169744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;535.344;196.40900000000002;0.846841;617.52;196.355;0.881444;400.233;270.849;0.780151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001872_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001872_rendered.png;0.6543742882219314;39.74195819386364;0.24219929977529542;6.863016829810833;1.0884659476320067;0.5180334291225182;1.0178736946424325;0.609019732164606;8.036016618318063;1.0178736946424325;12.781607288827189;1.036066858245036;0.9080909927556129;1.0;1.0;0.9919029839951952;0.32000464470735285;0.9903606685824503;0.32000464470735285;0.9753216244403334;1.0278109014247336;1.1695892334892886;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001872_rendered.png
330;330;664.558;210.21099999999998;0.93166;664.618;310.027;0.874101;588.2719999999999;313.92900000000003;0.798201;566.683;439.336;0.805142;541.174;480.526;0.88936;739.055;306.107;0.8074859999999999;762.66;429.62699999999995;0.8942950000000001;797.895;478.63300000000004;0.822299;666.683;531.433;0.646116;619.6;531.4169999999999;0.600474;503.97;525.482;0.768828;739.08;611.712;0.610643;715.597;527.472;0.628229;829.24;521.6419999999999;0.727638;631.36;599.932;0.574114;648.995;196.368;0.9888;680.336;196.488;0.961349;631.271;210.13099999999997;0.8849940000000001;699.96;214.078;0.8902370000000001;580.379;603.974;0.505322;586.196;609.797;0.509203;619.559;601.974;0.155579;780.227;601.982;0.659166;774.31;609.812;0.630192;746.977;613.687;0.330942;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000002010_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002010_rendered.png;0.7013097575029807;41.600215639434396;0.24522348878016736;7.220535236444408;1.190740914532805;0.5702316198837661;1.0679247350668175;0.6366261491635167;5.910753578968264;1.0679247350668175;13.450290043513364;1.1404632397675323;0.9165156740956;1.0;1.0;0.9927692547046312;0.31752506003042463;0.9914046323976753;0.31752506003042463;0.977734823591175;1.0635608019414347;1.3019604214640028;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002010_rendered.png
368;368;599.974;239.467;0.8886430000000001;650.95;317.813;0.8466799999999999;578.423;323.816;0.7724840000000001;570.621;451.15;0.8577450000000001;539.266;484.445;0.833621;727.372;304.099;0.781995;762.635;423.707;0.83805;795.8760000000001;480.455;0.844886;666.613;531.441;0.65684;619.591;531.429;0.6048640000000001;502.06300000000005;523.626;0.769896;741.052;609.797;0.596316;713.692;527.4730000000001;0.639219;829.217;523.55;0.729018;629.368;598.059;0.5967779999999999;580.4119999999999;239.52599999999998;0.857672;601.9540000000001;212.16299999999998;0.938983;576.482;255.143;0.0756577;635.319;200.37900000000002;0.8837780000000001;576.536;605.865;0.546558;586.257;613.682;0.5455810000000001;617.672;601.9540000000001;0.168375;784.15;605.874;0.563179;774.4010000000001;615.6659999999999;0.590785;752.7860000000001;609.807;0.33773800000000004;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000002238_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002238_rendered.png;0.004409318257510827;0.2699467445377253;0.0046501974864192885;0.060052802134890844;0.0008870601804896738;6.93273089269475e-05;0.011775169546707922;0.004734498574357935;0.4451852798128509;0.011775169546707922;0.14869859017109646;0.00013865461785371767;0.8531621368329062;1.0;1.0;0.9837725381798333;0.37714130955755715;0.9800013865461785;0.37714130955755715;0.9587474578540335;0.9490565592595014;0.39483920055155186;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002238_rendered.png;;
400;400;731.238;241.422;0.923992;680.279;315.945;0.860192;601.986;306.166;0.810928;572.63;429.525;0.905852;543.2130000000001;480.505;0.875468;756.691;321.797;0.795313;770.4019999999999;445.211;0.847153;797.8960000000001;486.348;0.796676;666.6339999999999;531.437;0.671247;619.606;527.562;0.620954;505.94699999999995;525.485;0.711662;742.951;611.739;0.5756680000000001;713.659;529.477;0.622164;833.143;523.592;0.729403;631.354;598.039;0.592391;727.3989999999999;214.032;0.941206;746.985;235.61599999999999;0.870168;692.041;200.328;0.8659110000000001;0.0;0.0;0.0;580.413;605.91;0.521521;586.293;611.776;0.525029;619.571;601.944;0.159088;788.0310000000001;603.9730000000001;0.569547;776.346;615.635;0.59506;754.7710000000001;615.614;0.294055;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000002430_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002430_rendered.png;0.001086645433018265;0.050918360277339474;0.0017402647672267457;0.014497048963412973;4.6154344239379697e-05;5.1282886874837175e-06;0.0032025891673333803;0.001108537523727608;0.25985401519175216;0.0032025891673333803;0.03885118143972955;1.0256577374721114e-05;0.8500881299181374;0.96;1.0;0.9836978037426178;0.36977201398204945;0.9800001025657736;0.36977201398204945;0.9577744489918869;0.921169230262691;0.8346041874648784;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002430_rendered.png;
474;474;666.664;221.908;0.877285;680.268;312.027;0.851564;604.004;308.091;0.792169;598.067;443.283;0.8240649999999999;664.7280000000001;523.6569999999999;0.891869;750.825;315.916;0.763473;774.3939999999999;447.13699999999994;0.906911;727.418;513.7669999999999;0.8587030000000001;666.5930000000001;523.526;0.661466;619.616;517.696;0.556902;490.283;482.455;0.336544;713.6389999999999;576.528;0.29955;713.565;523.6080000000001;0.64522;864.448;574.591;0.57575;650.9580000000001;588.232;0.46252;650.884;210.125;0.964666;682.2239999999999;202.25799999999998;0.9009510000000001;635.321;227.67700000000002;0.9396129999999999;709.7230000000001;210.195;0.9439120000000001;596.075;594.131;0.41448599999999997;601.936;600.021;0.421789;633.304;592.173;0.144565;0.0;0.0;0.0;0.0;0.0;0.0;725.372;584.32;0.0683161;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000002874_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002874_rendered.png;0.08191970472680418;5.468310647868191;0.1962112811913713;1.0891805000731825;0.5022921056746689;0.06212878941161748;0.3525018848506134;0.1909224220482708;3.364091214468403;0.3525018848506134;3.947998175341628;0.12425757882323514;0.858921211611834;1.0;1.0;0.9847301899830865;0.3718649379018904;0.9812425757882324;0.3718649379018904;0.9605568601139464;0.9599334411830085;3.3624000081373624;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002874_rendered.png;;
500;5;678.3860000000001;225.71;0.903433;666.643;317.903;0.862353;590.195;319.865;0.787567;570.515;458.94;0.865519;650.961;527.514;0.732861;744.932;315.904;0.789222;772.331;443.204;0.8344790000000001;717.5189999999999;529.438;0.773908;676.38;527.557;0.652564;627.393;527.509;0.593492;521.605;552.962;0.43603400000000003;701.8660000000001;586.224;0.27165500000000004;725.4069999999999;525.543;0.635529;866.418;574.523;0.629169;647.007;594.12;0.413037;662.7189999999999;206.15900000000002;0.887283;695.94;210.06900000000002;0.931234;633.342;212.179;0.9588610000000001;711.587;225.743;0.8971620000000001;588.2959999999999;598.052;0.541354;596.0840000000001;601.937;0.500096;633.288;598.065;0.122734;0.0;0.0;0.0;0.0;0.0;0.0;713.6560000000001;590.185;0.0529957;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000003030_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003030_rendered.png;0.0015324522912409909;0.07076503682199735;0.00202170644822533;0.019968390399959977;7.793085448803971e-05;1.1829558787423977e-05;0.004864063895060278;0.0017699232456302979;0.228847268974656;0.004864063895060278;0.06296905513181612;2.3659117575228963e-05;0.8465140021491573;0.92;1.0;0.9836149100334299;0.361471620275205;0.9800002365911757;0.361471620275205;0.9566367632955733;0.8895702641920864;4.4035162853649314;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003030_rendered.png;
568;73;0.0;0.0;0.0;270.83799999999997;172.899;0.421464;86.7141;186.61599999999999;0.24174400000000001;351.213;715.6039999999999;0.337814;0.0;0.0;0.0;476.603;153.30700000000002;0.41518299999999997;586.314;596.069;0.178579;729.347;417.788;0.281375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000003438_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003438_rendered.png;0.6097238815917608;29.137446222202765;0.3319356960583776;5.419221996916879;0.6891207693745971;0.486828240965967;0.9867403315624298;0.5868526859809512;17.44629270763867;0.9867403315624298;12.960944926356847;0.9736564819319338;0.8845247243905068;0.76;1.0;0.9911310555828962;0.27173957627787165;0.9897365648193194;0.27173957627787165;0.9683938877011348;0.7736433459364319;6.43243724968851;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003438_rendered.png
