;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;1004.2;377.26800000000003;0.8248850000000001;886.4169999999999;715.721;0.606358;642.0980000000001;700.99;0.402357;497.931;1074.86;0.106991;0.0;0.0;0.0;1157.17;733.363;0.464714;1163.13;1074.89;0.05762919999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;965.829;300.762;0.810595;1074.74;341.908;0.93137;854.0419999999999;338.994;0.8589760000000001;1115.88;418.425;0.833601;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000000_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1255288434872432;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png
1;1;1001.28;374.274;0.8465969999999999;904.035;715.595;0.662623;642.135;698.03;0.41253999999999996;527.2869999999999;1074.88;0.09871100000000001;0.0;0.0;0.0;1163.08;730.39;0.503058;1162.96;1074.89;0.0535371;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;954.252;297.857;0.851168;1069.03;339.077;0.963593;842.318;338.973;0.82183;1098.41;427.209;0.8119029999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000006_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000006_rendered.png;0.004084610658876135;0.0933446435011053;0.008092549106794661;0.03409005972374918;0.00010768062077826102;7.042499055920359e-05;0.011868023471415868;0.004893011711663671;0.6487958162478891;0.011868023471415868;0.1585182610125881;0.00014084998111807797;0.7603804139208555;0.4;1.0;0.9822537977220932;0.22525478579436467;0.9800014084998112;0.22525478579436467;0.9269706579438728;0.38195895145403336;3.152238954441301;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000006_rendered.png
100;100;977.743;318.54;0.876189;954.054;674.51;0.635714;692.16;692.21;0.427142;912.8860000000001;1074.87;0.30044899999999997;1048.34;974.637;0.15198599999999998;1204.28;668.622;0.523458;1236.57;1074.81;0.179912;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;921.679;271.351;0.8659450000000001;1033.62;280.161;0.8192290000000001;812.819;338.945;0.8853190000000001;1086.59;344.92800000000005;0.8199110000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000600_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;0.004061070151385342;0.11613035556805541;0.003723120837471311;0.03557138441735175;6.815351073830023e-05;4.205319496364268e-05;0.009170953599659342;0.003827975617149923;0.46416671662659603;0.009170953599659342;0.13275555923989618;8.410638992710465e-05;0.771676057205713;0.44;1.0;0.9823824517353432;0.23817108299939185;0.9800008410638992;0.23817108299939185;0.9311245844758822;0.425700100036815;4.018017107047524;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;
135;135;968.846;365.48800000000006;0.8525200000000001;954.08;674.5319999999999;0.607534;683.367;689.164;0.43096999999999996;957.015;1074.87;0.130636;1051.24;636.243;0.541837;1204.26;686.279;0.45622399999999996;1257.22;1074.86;0.27689600000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;906.9;315.428;0.925593;1021.88;312.416;0.9061540000000001;821.6669999999999;362.358;0.819701;1095.48;347.84;0.8724770000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000810_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000810_rendered.png;0.0017427912422563429;0.04659354617550021;0.0027235531538810642;0.015304069655350722;1.5352194963180743e-05;9.493788790670976e-06;0.004357473761410262;0.0018193166126248455;0.30462850645764633;0.004357473761410262;0.0644769166228183;1.89875775813789e-05;0.7722468943474703;0.44;1.0;0.9823887584041952;0.23885912051996325;0.9800001898757758;0.23885912051996325;0.9313322543372266;0.42806518921433073;2.704920401973506;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000810_rendered.png;;
184;184;986.551;368.353;0.8218129999999999;904.1469999999999;597.903;0.48663900000000004;692.1610000000001;583.265;0.326504;483.26800000000003;77.0102;0.386267;0.0;0.0;0.0;1121.91;577.351;0.376866;1557.48;315.439;0.648262;1213.12;247.84099999999998;0.49856000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;948.2280000000001;291.86400000000003;0.891275;1057.15;321.404;0.8385229999999999;839.341;294.88599999999997;0.8515520000000001;1104.2;371.32199999999995;0.795043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001104_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001104_rendered.png;0.05213573325347325;2.419579768677562;0.26495598695149436;0.43342144119723036;0.054499484488469974;0.0359031829210823;0.26796709843218464;0.15354786334091824;9.388802361712704;0.26796709843218464;3.2827948237334423;0.07180636584216413;0.7680599540857682;0.48;1.0;0.9829015780284023;0.22648289376127279;0.9807180636584216;0.22648289376127279;0.9298040495423339;0.3971498381994889;6.306711888820483;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001104_rendered.png
185;185;995.2389999999999;368.425;0.826989;912.96;633.283;0.38199;695.112;692.185;0.19398900000000002;0.0;0.0;0.0;0.0;0.0;0.0;1127.79;568.5409999999999;0.403028;1560.42;312.531;0.682421;1210.13;247.68900000000002;0.455322;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;951.1080000000001;291.85900000000004;0.916375;1065.87;321.384;0.864949;839.346;291.968;0.8606520000000001;1107.13;368.49300000000005;0.8123239999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001110_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001110_rendered.png;0.02599309715799208;2.1585967196485556;0.1322814901499634;0.209961577926203;0.013802423345180115;0.009474351245218116;0.13765428613172945;0.11544068440903696;4.652920464139243;0.13765428613172945;1.8201377640711311;0.01894870249043604;0.7547472287085245;0.44;1.0;0.9823424818320265;0.21735881446672303;0.9801894870249044;0.21735881446672303;0.9248668466143593;0.35867993855122493;6.396856367905136;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001110_rendered.png
186;186;556.784;315.351;0.9072969999999999;547.925;453.708;0.834944;436.12;442.05300000000005;0.7795569999999999;383.07;600.828;0.85154;530.35;527.377;0.8404870000000001;647.962;453.717;0.802083;721.576;621.408;0.8799959999999999;589.116;527.328;0.818383;553.732;762.815;0.6078210000000001;483.277;762.796;0.546283;350.694;715.722;0.80833;603.906;859.9780000000001;0.480662;624.38;762.694;0.5846819999999999;812.8969999999999;742.1669999999999;0.820782;527.346;856.9119999999999;0.46814399999999995;530.409;291.982;0.944175;577.408;291.91700000000003;0.93584;489.089;315.285;0.886342;600.9540000000001;315.29400000000004;0.8451549999999999;453.74199999999996;842.258;0.307523;456.726;856.9939999999999;0.338231;483.161;871.6669999999999;0.11198699999999999;727.502;854.068;0.597183;715.7460000000001;862.904;0.57225;659.78;880.4860000000001;0.1785;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001116_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001116_rendered.png;0.6094123733419643;35.615473685958364;0.26282531880539706;6.566096749653342;1.2405865164606757;0.5143820954065637;1.014280134288909;0.5764844487721086;12.6343808571554;1.014280134288909;14.226653584669112;1.028764190813127;0.9098576913929081;1.0;1.0;0.9918797387414957;0.32784969794255364;0.9902876419081312;0.32784969794255364;0.9758303948429964;1.0670781510130656;6.588133132938879;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001116_rendered.png
187;187;556.739;315.518;0.939876;547.937;436.015;0.873714;436.246;433.245;0.796899;388.971;577.288;0.9014770000000001;539.072;506.667;0.794529;645.106;436.08;0.867028;724.562;598.014;0.8803540000000001;597.995;506.726;0.859517;553.9590000000001;742.247;0.630541;494.967;745.1139999999999;0.561628;377.251;712.737;0.735815;627.4630000000001;845.19;0.575661;621.618;742.1060000000001;0.633366;812.957;718.6510000000001;0.825931;542.0419999999999;836.395;0.512601;530.457;294.772;0.926905;577.322;294.747;0.959677;489.051;306.629;0.8478889999999999;598.003;309.506;0.460024;442.028;815.837;0.31777;453.741;833.493;0.308196;506.719;848.199;0.181358;742.203;836.307;0.672896;727.4889999999999;848.1460000000001;0.5657260000000001;648.072;857.028;0.242448;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001122_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001122_rendered.png;0.009371602583601967;0.4947944754740561;0.006996920278432059;0.1273909964568431;0.002705227319032777;0.00022779274542317207;0.021344448712644497;0.008077742835421016;0.7815054069131752;0.021344448712644497;0.2884218283606341;0.00045558549084671125;0.852902197782956;1.0;1.0;0.9837682860341906;0.37645877250554816;0.9800045558549084;0.37645877250554816;0.9586653750854409;0.9465617366079522;6.756918185949483;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001122_rendered.png
200;200;553.972;315.345;0.9329280000000001;550.786;453.661;0.8649;436.077;442.05199999999996;0.786083;380.17400000000004;600.939;0.844007;530.386;527.335;0.831642;650.905;453.725;0.809158;721.637;621.533;0.891117;583.319;524.42;0.802998;556.73;765.687;0.615694;491.99199999999996;765.7080000000001;0.580381;347.775;715.597;0.81681;603.862;860.012;0.583787;624.494;762.747;0.615966;812.873;739.2510000000001;0.829105;530.25;856.933;0.549996;530.374;291.976;0.9502700000000001;577.356;294.703;0.9572;489.088;312.543;0.881106;600.8580000000001;315.48900000000003;0.900118;459.60400000000004;854.07;0.43563199999999996;465.54699999999997;862.909;0.44426899999999997;503.856;865.8789999999999;0.159101;721.6619999999999;854.035;0.62368;715.623;860.0;0.526362;630.37;877.618;0.1791;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001200_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001200_rendered.png;0.015575112823591118;0.831776723289057;0.01359104876048503;0.21139645564297105;0.009989512764295938;0.0008032794435931523;0.040081902240119704;0.015437454041630827;0.8938116814862566;0.040081902240119704;0.4823752217037281;0.001606558887186513;0.8527638355307898;1.0;1.0;0.9837725075689493;0.37594618785233463;0.9800160655888719;0.37594618785233463;0.9586216687990772;0.9449090183824529;7.608296051895433;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001200_rendered.png;
226;226;545.03;297.77;0.8739239999999999;577.2909999999999;439.035;0.8808239999999999;483.13300000000004;436.20099999999996;0.84165;362.64;594.951;0.8508030000000001;500.80699999999996;524.37;0.7918890000000001;671.622;439.015;0.768402;674.535;621.61;0.8758370000000001;550.739;509.759;0.805999;553.784;765.7139999999999;0.596057;483.14599999999996;762.7689999999999;0.572504;247.74900000000002;718.807;0.731245;477.335;883.4119999999999;0.624963;621.464;765.696;0.542263;624.4590000000001;798.179;0.558963;406.655;868.75;0.493262;530.431;277.158;0.880084;574.496;280.096;0.904759;0.0;0.0;0.0;636.234;306.54;0.8338270000000001;315.444;859.914;0.336303;321.313;874.586;0.343332;383.09;871.695;0.177768;550.974;886.471;0.47857299999999997;542.039;901.178;0.47048;489.115;904.0210000000001;0.16222999999999999;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001356_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001356_rendered.png;0.1475589886127231;10.452860560751082;0.2076457149417874;1.8609365076124424;0.48077027349603774;0.10697708873536327;0.46255181057988154;0.2571907433803329;8.955712258634058;0.46255181057988154;6.209268506949105;0.2139541774707266;0.8583793084233023;0.96;1.0;0.9853182637232997;0.35595077220258153;0.9821395417747073;0.35595077220258153;0.9603873488136808;0.9217204379346507;6.395458242479112;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001356_rendered.png
227;227;1027.74;274.238;0.858757;1021.9;430.235;0.851558;892.291;430.125;0.699817;857.07;633.352;0.7589090000000001;789.263;724.5930000000001;0.8084640000000001;1154.28;433.04;0.724815;1195.51;633.3430000000001;0.758292;1272.04;742.248;0.757026;1021.81;774.539;0.638113;939.3839999999999;768.773;0.595855;762.709;789.365;0.764508;1133.65;924.7130000000001;0.5729310000000001;1101.31;768.7310000000001;0.590797;1298.48;812.957;0.718603;936.445;907.028;0.39941;1001.22;247.601;0.9589059999999999;1060.04;244.923;0.8787209999999999;959.9739999999999;265.401;0.879141;1092.47;268.242;0.891814;862.9069999999999;898.2080000000001;0.247496;871.682;907.1139999999999;0.25232;906.9789999999999;915.8610000000001;0.164851;1210.14;927.633;0.6525270000000001;1192.51;936.4060000000001;0.659621;1160.1;918.825;0.2537;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001380_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001380_rendered.png;0.17743567502662097;10.303034862003356;0.15260344087794578;2.3605015922077097;0.595763725959146;0.06937489265174313;0.372491322453942;0.16063180401605212;6.750430586566663;0.372491322453942;5.19335252422879;0.13874978530348656;0.8600923679406447;1.0;1.0;0.9848536422732512;0.3724533534338905;0.9813874978530349;0.3724533534338905;0.9609226805629083;0.9661770141574395;6.2865659999965775;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001380_rendered.png
228;228;1027.72;271.44599999999997;0.881186;1021.84;433.13199999999995;0.868423;892.278;430.163;0.710438;857.079;624.5790000000001;0.8751450000000001;789.307;718.63;0.9198149999999999;1154.23;433.259;0.746782;1192.49;636.2080000000001;0.8294299999999999;1266.1;742.128;0.806666;1024.69;765.821;0.6544979999999999;942.311;765.78;0.627429;759.8539999999999;795.1610000000001;0.753642;1095.36;924.737;0.633016;1104.19;765.745;0.6299560000000001;1298.47;812.928;0.783542;945.322;904.079;0.5513899999999999;1001.17;247.71900000000002;0.956182;1054.18;247.673;0.897486;960.0310000000001;268.182;0.881424;1092.28;268.166;0.8829020000000001;895.2;930.4830000000001;0.448738;904.061;933.4839999999999;0.525383;0.0;0.0;0.0;1204.23;924.7239999999999;0.596954;1186.68;930.645;0.606857;1104.23;927.584;0.27089;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001386_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001386_rendered.png;0.033684563904935926;2.5867131467104976;0.14559096388643475;0.44809359960478734;0.17168988828745524;0.021334325621719774;0.20656391563736323;0.1232888129392089;3.9493885496745342;0.20656391563736323;2.410990617234664;0.04266865124343971;0.8528614268124433;1.0;1.0;0.9840466091220743;0.369883475471811;0.9804266865124345;0.369883475471811;0.9586524972876365;0.9319505215820099;6.144610926562022;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001386_rendered.png
229;229;1027.77;274.245;0.8772969999999999;1024.63;433.04400000000004;0.863276;895.288;424.366;0.700491;859.904;630.425;0.865265;806.8610000000001;718.816;0.865308;1157.21;433.251;0.7505430000000001;1189.72;639.127;0.841406;1260.3;742.314;0.8038850000000001;1024.8;765.79;0.654561;945.2510000000001;765.7560000000001;0.6242;751.028;789.426;0.795337;1095.45;924.69;0.588757;1107.15;765.74;0.6410239999999999;1301.31;812.89;0.810303;954.145;907.071;0.571771;1001.28;247.72099999999998;0.9486180000000001;1060.02;247.768;0.888885;965.931;265.414;0.8738450000000001;1092.55;268.189;0.9189299999999999;889.3480000000001;924.7080000000001;0.507584;903.972;930.623;0.545733;0.0;0.0;0.0;1198.37;924.722;0.574716;1183.71;930.697;0.590553;1104.25;927.63;0.241819;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001392_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001392_rendered.png;0.0016421294000024391;0.08496569375688234;0.0027963133655473094;0.021605750718802892;8.628528589960105e-05;1.1604594335468121e-05;0.004817591584096427;0.0018400387350181759;0.24251841712885605;0.004817591584096427;0.06262423176471471;2.3209188671156722e-05;0.8479932157758516;0.96;1.0;0.9836488793638897;0.3648689613565664;0.9800002320918867;0.3648689613565664;0.9571084488764562;0.9025312946920842;5.870942065511086;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001392_rendered.png
230;230;1027.73;274.281;0.878635;1024.66;433.045;0.8716659999999999;898.159;424.32099999999997;0.709259;859.8589999999999;630.308;0.8755620000000001;806.928;718.788;0.880345;1160.06;436.01800000000003;0.7620100000000001;1189.72;636.231;0.841929;1260.13;742.1560000000001;0.8502940000000001;1024.72;768.692;0.646774;942.3;768.7189999999999;0.619189;753.955;792.257;0.7844180000000001;1092.48;924.7;0.630097;1104.22;765.8430000000001;0.628512;1295.54;812.903;0.775965;951.084;906.935;0.577518;1001.28;247.815;0.939652;1057.12;247.838;0.8802620000000001;968.763;268.2;0.8831829999999999;1092.56;268.232;0.9343670000000001;892.2539999999999;927.66;0.5228119999999999;904.05;933.4939999999999;0.590499;0.0;0.0;0.0;1201.36;927.578;0.607951;1186.6;933.53;0.611529;1098.42;927.643;0.293536;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001398_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001398_rendered.png;0.0009697334171622702;0.0467286565483811;0.0009866387997255477;0.012760334701568003;2.3774261735609592e-05;3.302387666770379e-06;0.002569975745706032;0.0009309009774037835;0.12127266592747514;0.002569975745706032;0.0355667760020003;6.604775333517275e-06;0.8480086553517391;0.96;1.0;0.9836491257124663;0.3649071715362419;0.9800000660477534;0.3649071715362419;0.9571133659561081;0.9026728611033137;5.702382257780351;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001398_rendered.png
231;231;1027.75;277.116;0.8707790000000001;1024.64;433.045;0.872028;898.174;424.287;0.7132930000000001;859.893;630.405;0.864426;803.987;727.4760000000001;0.808872;1160.08;435.991;0.764442;1189.62;639.2330000000001;0.8703850000000001;1257.33;742.1239999999999;0.861574;1024.85;765.722;0.6570060000000001;948.182;765.841;0.6375109999999999;753.953;792.2410000000001;0.785158;1086.53;924.6039999999999;0.592209;1104.2;762.875;0.654786;1295.49;812.928;0.7761520000000001;933.5060000000001;904.072;0.647038;1001.29;247.833;0.934406;1057.17;250.625;0.874216;968.757;268.198;0.884653;1095.28;268.301;0.9494450000000001;892.263;933.5060000000001;0.5181899999999999;904.179;939.443;0.603603;912.8960000000001;907.044;0.271596;1198.43;924.711;0.560815;1186.59;930.6489999999999;0.559455;1095.45;927.46;0.343857;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001404_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001404_rendered.png;0.032123044123449705;2.49834169056303;0.1452159479231285;0.42759703058449805;0.17084511809176794;0.021185286565061245;0.20584113566078618;0.12306108072986456;3.7886568968072356;0.20584113566078618;2.3977366866936047;0.04237057313012219;0.8529339261997568;1.0;1.0;0.9840463346462488;0.37010364323548006;0.9804237057313013;0.37010364323548006;0.958675396116575;0.932706555304014;5.438496842025439;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001404_rendered.png
264;264;1039.39;280.13;0.8331729999999999;1024.82;427.225;0.836872;903.977;415.465;0.773258;836.3910000000001;624.467;0.917172;783.455;715.585;0.866534;1160.16;433.096;0.759716;1207.26;624.615;0.836025;1230.84;727.434;0.825159;1027.64;765.709;0.653886;945.2919999999999;765.83;0.637207;765.6510000000001;795.2260000000001;0.7323649999999999;1074.78;930.566;0.749444;1107.13;762.791;0.663779;1280.9;821.686;0.697535;936.451;907.055;0.631879;1004.13;247.903;0.924299;1065.94;247.782;0.9269280000000001;971.717;271.259;0.90256;1095.43;268.215;0.941105;880.428;942.294;0.50947;886.4630000000001;948.2280000000001;0.568296;927.568;907.073;0.20413499999999998;1195.45;927.553;0.483916;1183.69;936.445;0.432867;1089.47;936.5310000000001;0.41011800000000004;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001602_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001602_rendered.png;0.0026963764972547707;0.14533983891680238;0.00538940299229243;0.036281739044576204;0.00046101792546104914;4.465307477485858e-05;0.009450193095899577;0.00349607001782037;0.3897118574221904;0.009450193095899577;0.12241317548163977;8.930614954978806e-05;0.8513711764234474;1.0;1.0;0.9837288769746836;0.3728150386565997;0.9800008930614955;0.3728150386565997;0.9581811829159362;0.9327158992939897;1.6994487407335084;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001602_rendered.png;;
300;300;1027.73;330.175;0.8660709999999999;1024.82;409.491;0.878605;915.878;391.944;0.750436;830.492;595.063;0.8513950000000001;765.7239999999999;742.262;0.8992889999999999;1142.37;412.64300000000003;0.782862;1213.0;615.562;0.834983;1286.7;786.311;0.744525;1024.78;762.717;0.6517029999999999;945.2489999999999;759.847;0.610721;762.8639999999999;786.2610000000001;0.725835;1083.59;927.69;0.706501;1101.33;762.697;0.622696;1286.72;809.8789999999999;0.412469;945.243;904.15;0.677499;1001.37;294.976;0.919374;1060.1;297.835;0.859777;971.712;294.782;0.896174;1095.49;294.92400000000004;0.927333;883.4010000000001;930.581;0.608237;901.034;939.3610000000001;0.593093;0.0;0.0;0.0;1189.59;927.563;0.5432819999999999;1174.9;933.5880000000001;0.483099;1092.49;933.461;0.398903;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001818_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001818_rendered.png;0.032411841655741916;2.4863702607935863;0.14840184783050567;0.4323754143195768;0.18011993586640007;0.021647694410548368;0.2080754402160348;0.12358440428603933;3.785527016436911;0.2080754402160348;2.417695147250416;0.043295388821096674;0.853320984671632;1.0;1.0;0.9840615987131935;0.3708934710177049;0.980432953888211;0.3708934710177049;0.9587976006427412;0.9359318886361486;1.8788771614976385;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001818_rendered.png;
385;385;1024.79;280.073;0.883268;1021.9;427.279;0.8510139999999999;898.2239999999999;418.399;0.744667;857.069;624.444;0.938308;809.773;724.503;0.8684649999999999;1154.27;433.086;0.7420399999999999;1189.66;630.387;0.8585879999999999;1242.53;739.179;0.8259620000000001;1024.8;768.775;0.66217;945.326;771.679;0.627321;754.0060000000001;804.053;0.748587;1077.78;930.528;0.735754;1104.22;765.824;0.658356;1289.64;821.687;0.734589;933.577;907.0980000000001;0.6332270000000001;1001.12;250.635;0.919033;1051.3;250.71099999999998;0.8889969999999999;965.8860000000001;265.35;0.8676709999999999;1092.49;265.38;0.9265459999999999;865.77;930.4789999999999;0.595958;880.4889999999999;936.419;0.622328;927.53;909.99;0.19989500000000002;1204.33;930.58;0.5068590000000001;1186.62;945.2660000000001;0.473258;1092.41;933.613;0.42100200000000004;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000002328_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002328_rendered.png;0.0007518639958254593;0.04706147907505561;0.0009334259215029173;0.010121283316634123;2.9042322095107487e-05;2.8619584079292437e-06;0.0023924708600049616;0.000983160019350417;0.1327323355026879;0.0023924708600049616;0.036340439373184444;5.72391681597288e-06;0.8514295429738036;1.0;1.0;0.983729723262267;0.37296766972784345;0.9800000572391682;0.37296766972784345;0.9581996645356058;0.9332729850756047;0.7745152853493974;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002328_rendered.png;;
