;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;948.237;203.574;0.8846370000000001;936.4760000000001;385.952;0.817579;806.909;383.083;0.726797;762.7189999999999;606.815;0.857426;692.181;798.0980000000001;0.840614;1071.92;385.931;0.754659;1121.94;603.889;0.827465;1207.2;789.352;0.830828;942.373;774.568;0.605881;856.916;783.328;0.6261439999999999;595.066;957.0219999999999;0.789733;930.6160000000001;927.567;0.618459;1027.75;765.81;0.636199;1289.71;951.178;0.740689;980.673;886.43;0.401235;918.74;177.107;0.9093979999999999;974.845;177.141;0.9651629999999999;880.52;200.797;0.935909;1012.95;203.558;0.8662719999999999;0.0;0.0;0.0;0.0;0.0;0.0;957.1139999999999;874.665;0.38114899999999996;1051.3;945.2710000000001;0.146059;0.0;0.0;0.0;942.342;886.451;0.300261;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000000_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.42942555617371;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png
53;53;912.938;221.331;0.896963;930.622;386.07300000000004;0.887301;803.95;394.93199999999996;0.737885;804.0189999999999;627.4159999999999;0.799816;674.53;668.743;0.863265;1068.77;368.361;0.740143;1118.86;595.0409999999999;0.8638979999999999;1233.7;671.613;0.864764;948.138;774.552;0.614464;859.8580000000001;780.466;0.62963;592.092;954.097;0.8002239999999999;930.573;927.5980000000001;0.574789;1030.61;765.804;0.62998;1286.72;951.1389999999999;0.732534;986.518;892.319;0.414749;883.442;197.653;0.976303;945.242;194.687;0.8794040000000001;848.192;221.304;0.900125;977.674;212.447;0.8955639999999999;0.0;0.0;0.0;0.0;0.0;0.0;957.135;877.561;0.37569400000000003;1060.08;948.196;0.146284;0.0;0.0;0.0;942.367;883.4830000000001;0.298023;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000318_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000318_rendered.png;0.0028117539449151077;0.13929914427394796;0.0031679049323360686;0.03511218780028608;0.000104888955952398;2.3448275005222285e-05;0.006848105578209779;0.0026739062035581055;0.778412908860187;0.006848105578209779;0.1367309460626929;4.6896550010307894e-05;0.8398454673273048;0.88;1.0;0.9834680989727889;0.3467711319137455;0.9800004689655001;0.3467711319137455;0.9544955601020324;0.8331523659991402;4.522845524131411;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000318_rendered.png;;
100;100;951.2339999999999;221.236;0.9542719999999999;948.2239999999999;383.175;0.840907;809.888;380.221;0.737038;786.2860000000001;586.2130000000001;0.8298180000000001;833.31;668.628;0.787439;1083.56;386.05199999999996;0.738649;1095.53;597.927;0.805036;1071.98;668.574;0.7805529999999999;942.3489999999999;768.7360000000001;0.629804;857.082;780.404;0.634638;594.934;954.04;0.806934;927.672;927.57;0.5997279999999999;1024.75;765.737;0.653424;1295.53;951.055;0.733635;992.38;901.105;0.41133500000000006;924.591;197.555;0.909199;977.655;194.783;0.9427700000000001;880.654;218.234;0.9210379999999999;1015.95;218.22400000000002;0.87031;0.0;0.0;0.0;0.0;0.0;0.0;965.87;880.439;0.41290699999999997;1045.41;939.421;0.0510648;0.0;0.0;0.0;942.341;883.5239999999999;0.343225;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000600_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;0.04369110384663386;2.7209909864782724;0.18527151241911038;0.5530033891964463;0.15413456021993777;0.03169328106062541;0.2517668805090362;0.13955128462677607;8.828888596931542;0.2517668805090362;3.3003899251561983;0.06338656212125131;0.8469941044157153;0.92;1.0;0.9840530517549703;0.35310982221655096;0.9806338656212126;0.35310982221655096;0.9567899859279513;0.8728327461974376;6.356256351589533;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;
171;171;953.9810000000001;215.373;0.8934290000000001;948.1110000000001;388.914;0.850065;812.8;386.075;0.77469;765.829;612.726;0.849442;712.7869999999999;789.352;0.8514959999999999;1074.83;389.06199999999995;0.762641;1121.86;612.727;0.8241040000000001;1210.17;783.393;0.8482629999999999;945.2239999999999;765.8480000000001;0.632325;857.055;771.6669999999999;0.629754;595.0840000000001;954.1310000000001;0.816153;930.559;927.5110000000001;0.610528;1027.65;765.6560000000001;0.654651;1292.61;951.049;0.715853;998.232;901.14;0.40425700000000003;927.4830000000001;185.977;0.894315;977.7539999999999;185.977;0.893972;883.4810000000001;218.19799999999998;0.912452;1018.77;215.399;0.870974;0.0;0.0;0.0;0.0;0.0;0.0;968.8439999999999;877.586;0.374146;1048.32;933.6519999999999;0.0657992;0.0;0.0;0.0;948.175;883.461;0.354448;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001026_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001026_rendered.png;0.0004904390928877473;0.041303205601371316;0.0005566429705829157;0.006128690655574864;4.642367751439558e-06;1.132340079479377e-06;0.0015048854305607874;0.0008451788214787172;0.2240080993835968;0.0015048854305607874;0.03474146225524557;2.264680159114126e-06;0.8399532412040454;0.88;1.0;0.9834700920537446;0.3470073336246187;0.9800000226468016;0.3470073336246187;0.9545303587747207;0.8340519281847384;3.7423946275320694;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001026_rendered.png;;
200;200;954.123;221.213;0.940126;948.148;386.042;0.849173;812.8860000000001;385.965;0.7496659999999999;745.202;615.687;0.8361850000000001;886.4780000000001;724.538;0.757554;1074.79;386.014;0.763764;1119.1;601.001;0.872705;1013.03;695.174;0.819785;945.321;762.8660000000001;0.610151;859.88;765.69;0.606897;594.939;953.995;0.803521;930.568;927.597;0.619741;1027.68;762.703;0.608093;1292.6;948.2610000000001;0.729921;986.523;892.332;0.394142;927.6510000000001;194.734;0.939334;980.591;197.54;0.913343;883.459;215.291;0.900985;1018.85;218.355;0.903739;0.0;0.0;0.0;0.0;0.0;0.0;962.933;877.587;0.41306099999999996;1045.39;939.452;0.0953973;0.0;0.0;0.0;942.388;883.4830000000001;0.34265100000000004;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001200_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001200_rendered.png;0.04347266548088518;2.7354395712543282;0.18498667409122466;0.5506774243980033;0.154094430741477;0.031477455816262045;0.25090817370608764;0.13926611220152454;8.811990320761158;0.25090817370608764;3.2913228753068218;0.06295491163252423;0.8470819586620115;0.92;1.0;0.9840520352551041;0.3533718610198557;0.9806295491163253;0.3533718610198557;0.9568180107529501;0.8737383335143082;7.5171606167036495;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001200_rendered.png;
206;206;951.095;218.18400000000003;0.8925420000000001;951.005;386.04699999999997;0.871935;812.865;383.11800000000005;0.740743;762.773;603.986;0.8608030000000001;886.44;698.173;0.771439;1080.64;386.17199999999997;0.743683;1116.09;603.875;0.8696459999999999;1021.86;686.205;0.815909;942.357;765.701;0.602881;857.044;765.818;0.611293;594.966;954.0830000000001;0.807348;927.5989999999999;927.7;0.6097670000000001;1024.87;759.877;0.5955239999999999;1289.7;948.163;0.688017;980.678;892.2919999999999;0.38739;924.5980000000001;188.852;0.8717590000000001;977.6010000000001;185.93099999999998;0.904791;883.5;212.423;0.8966299999999999;1018.9;209.451;0.8757280000000001;1042.43;951.063;0.143834;0.0;0.0;0.0;957.0939999999999;880.492;0.40636700000000003;1036.49;936.52;0.0877538;0.0;0.0;0.0;939.423;895.2339999999999;0.318706;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001236_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001236_rendered.png;0.0019486423735155093;0.09351833374585272;0.0024231544857633014;0.02497156555778625;8.207877936439179e-05;1.4707235298838661e-05;0.0054235109106230035;0.0019425892368394476;0.5042777401334747;0.0054235109106230035;0.0859946082734872;2.941447059764676e-05;0.8439333961769953;0.92;1.0;0.9835568983588543;0.35566565227326674;0.980000294144706;0.35566565227326674;0.9558110324786184;0.8673466575511891;7.952256594719273;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001236_rendered.png
207;207;953.9889999999999;221.12900000000002;0.9355870000000001;951.056;386.10699999999997;0.876857;812.8989999999999;385.92400000000004;0.751358;762.752;606.776;0.8431040000000001;892.31;709.796;0.7406739999999999;1080.69;386.164;0.753476;1116.06;606.778;0.8607030000000001;1021.67;689.158;0.84862;951.102;768.735;0.623426;859.992;774.544;0.577734;589.1659999999999;954.122;0.770497;930.584;930.5219999999999;0.40513699999999997;1030.67;762.8380000000001;0.604049;1289.63;942.3330000000001;0.653029;974.654;904.003;0.391138;924.682;191.861;0.878832;977.757;188.91;0.893227;883.505;215.368;0.895366;1018.91;209.44299999999998;0.8708670000000001;0.0;0.0;0.0;0.0;0.0;0.0;951.163;880.5830000000001;0.323455;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001242_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001242_rendered.png;0.1267773252086646;7.942650984069657;0.18339015647065923;1.564067912596741;0.3539695387222289;0.0912428090128633;0.42718335410655545;0.2421953860429892;12.947680336007863;0.42718335410655545;5.732995021936589;0.18248561802572674;0.852679279448663;0.92;1.0;0.9849840876782715;0.3476430810503409;0.9818248561802573;0.3476430810503409;0.9585949539480386;0.881208436257721;8.34734334105414;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001242_rendered.png
208;208;556.802;315.475;0.9271360000000001;547.88;436.01300000000003;0.865088;438.99800000000005;433.22;0.800171;389.01300000000003;577.373;0.888249;539.063;506.61699999999996;0.7945949999999999;645.053;436.09;0.8574860000000001;724.549;598.072;0.884091;598.026;506.744;0.855973;553.93;742.28;0.603903;494.918;745.1310000000001;0.537601;374.26599999999996;712.798;0.753497;645.06;851.03;0.592337;621.599;739.347;0.5869479999999999;815.7280000000001;718.6080000000001;0.8318180000000001;545.0269999999999;833.465;0.526464;533.182;294.76;0.9182440000000001;577.339;294.686;0.954791;489.048;309.546;0.853709;597.979;309.474;0.412038;483.25199999999995;833.365;0.324803;489.069;839.3789999999999;0.349427;512.6569999999999;842.2819999999999;0.142808;739.311;833.49;0.645051;724.505;848.1360000000001;0.575231;659.8;857.085;0.264532;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001248_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001248_rendered.png;0.2536400804422004;16.13907980232445;0.19638231000966358;3.230751009640338;0.9256488078079481;0.18167139142558097;0.6027792156761561;0.31969349445147066;13.473798191651094;0.6027792156761561;9.086171229651553;0.3633427828511619;0.871509173261807;1.0;1.0;0.9866069268825302;0.3633624711225127;0.9836334278285116;0.3633624711225127;0.9644515566599363;0.9911344953117811;8.546022933520389;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001248_rendered.png
209;209;577.249;318.254;0.947737;542.043;436.01300000000003;0.8429120000000001;439.103;433.14300000000003;0.776008;412.67199999999997;580.432;0.855583;556.871;506.834;0.8156760000000001;642.061;436.213;0.806759;727.485;600.9;0.870926;615.689;509.663;0.8206200000000001;571.5409999999999;748.086;0.594754;506.777;751.0160000000001;0.549606;433.241;712.74;0.8438110000000001;650.942;836.294;0.659571;636.24;742.118;0.565227;836.414;709.81;0.7586229999999999;577.442;830.46;0.5969270000000001;550.95;294.754;0.9468139999999999;592.11;294.78;0.91133;500.73900000000003;303.61400000000003;0.8410860000000001;0.0;0.0;0.0;536.2;836.447;0.360053;545.013;845.1619999999999;0.390944;556.803;842.301;0.19351500000000002;777.5360000000001;830.4780000000001;0.523813;762.812;836.477;0.511648;671.581;853.987;0.24031599999999997;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001254_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001254_rendered.png;0.025602682170128958;2.540495990246362;0.1370138286835829;0.34573465792663605;0.1261854412918193;0.01237463077573897;0.15731898026455043;0.10403454230334604;7.381823809717321;0.15731898026455043;2.8359513643083365;0.024749261551478018;0.8537267939347254;1.0;1.0;0.9839485140670435;0.3747394069510174;0.9802474926155148;0.3747394069510174;0.9589256397084921;0.945961192522838;8.797758110569914;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001254_rendered.png
210;210;598.005;318.257;0.94152;547.839;439.037;0.825384;456.70099999999996;436.217;0.79084;480.339;600.82;0.899494;601.028;509.70599999999996;0.824917;624.495;439.149;0.762613;739.193;603.887;0.8742409999999999;647.896;512.656;0.7559670000000001;568.475;777.533;0.44738;503.772;792.238;0.41381;553.88;718.6619999999999;0.875179;718.7339999999999;836.4639999999999;0.712151;624.503;762.807;0.48429799999999995;880.4060000000001;698.1560000000001;0.792;627.464;836.3660000000001;0.586393;574.326;294.866;0.938932;603.869;294.847;0.8942459999999999;506.7;312.441;0.9297350000000001;0.0;0.0;0.0;648.064;865.8539999999999;0.317763;647.997;862.962;0.310865;598.033;839.404;0.295244;815.8489999999999;815.819;0.643534;804.0269999999999;833.427;0.573127;733.3989999999999;856.86;0.32571;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001260_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001260_rendered.png;0.018298757900588627;0.915457740765084;0.02340954221373312;0.2453093998508107;0.011822902620711617;0.001215947062949807;0.0493142385716305;0.018621392958963756;1.9364351358792846;0.0493142385716305;0.7582023719386224;0.0024318941258996895;0.850992195237696;0.96;1.0;0.9837353380634783;0.3715537018544417;0.9800243189412591;0.3715537018544417;0.9580611351728349;0.9285086538275086;8.987716911318492;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001260_rendered.png
246;246;503.836;312.474;0.9192540000000001;574.383;453.728;0.8228629999999999;506.69199999999995;453.75199999999995;0.730302;383.175;601.06;0.8297530000000001;456.715;503.75800000000004;0.7197;642.058;450.844;0.712494;577.448;639.125;0.844449;489.154;506.86699999999996;0.772473;550.8240000000001;795.2139999999999;0.496453;494.976;774.6030000000001;0.457424;230.09900000000002;695.1039999999999;0.65499;409.64599999999996;880.539;0.374558;600.953;812.855;0.505851;430.207;786.243;0.433054;0.0;0.0;0.0;503.79900000000004;288.97700000000003;0.805758;530.266;291.91;0.964521;0.0;0.0;0.0;603.812;312.44599999999997;0.8828799999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;377.186;904.0939999999999;0.169391;374.306;901.117;0.17574;439.026;886.4;0.151503;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001476_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001476_rendered.png;0.23245659727899068;12.851179850045348;0.24776385412796978;2.6179148767794462;0.47109641357344867;0.18211239414530112;0.6035103878895557;0.3290244613326017;12.384945377980966;0.6035103878895557;9.855185435109366;0.364224788290602;0.8547520612682923;0.8;1.0;0.9862830780107228;0.32288423359309304;0.983642247882906;0.32288423359309304;0.9592487376772525;0.8315120126210173;10.040371384046708;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001476_rendered.png
247;247;527.347;318.248;0.962566;574.302;439.02;0.869974;483.25300000000004;439.01599999999996;0.820717;365.527;583.335;0.825177;483.32300000000004;518.499;0.7706529999999999;653.888;436.25699999999995;0.776835;644.934;621.419;0.882602;527.438;506.64;0.862143;553.7819999999999;742.298;0.574641;486.129;742.1160000000001;0.585314;244.753;706.832;0.6908340000000001;450.774;857.059;0.570162;618.589;748.078;0.44250600000000007;553.881;786.395;0.457075;397.846;845.188;0.45434399999999997;512.674;294.877;0.8770610000000001;553.76;294.845;0.954773;0.0;0.0;0.0;621.38;315.25;0.910591;324.217;839.341;0.49970299999999995;336.00199999999995;851.148;0.509293;383.105;856.9739999999999;0.13916900000000001;512.635;865.784;0.476274;503.85400000000004;877.6310000000001;0.454031;480.241;880.459;0.19278299999999998;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001482_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001482_rendered.png;0.14871869826866524;10.365176909905035;0.2082094108933464;1.8751340548343007;0.48047207970332917;0.10848790072524139;0.46580661378997457;0.2584243031844002;8.413153593912893;0.46580661378997457;7.097133290338946;0.2169758014504825;0.8585866236570234;0.96;1.0;0.9853431366791713;0.3559546378840956;0.9821697580145049;0.3559546378840956;0.9604522167467099;0.9223540369873598;10.024844375115844;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001482_rendered.png
248;248;1045.19;386.079;0.9333870000000001;1092.45;494.969;0.8365959999999999;1045.43;483.106;0.88846;1030.64;627.419;0.6962;912.86;651.067;0.785712;1139.45;503.805;0.821557;1095.37;695.1189999999999;0.8641110000000001;951.2639999999999;748.059;0.842979;1071.96;768.693;0.597992;1042.39;745.1569999999999;0.5646909999999999;877.585;689.184;0.543579;1012.97;853.995;0.10493599999999999;1115.95;789.383;0.581205;927.645;809.857;0.303349;0.0;0.0;0.0;1024.8;365.62800000000004;0.9393090000000001;1065.9;362.522;0.9084120000000001;0.0;0.0;0.0;1113.03;374.325;0.8563;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1033.56;865.836;0.07212610000000001;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001518_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001518_rendered.png;0.285773416115023;17.40328038581646;0.21322821169806613;3.530430589309426;0.8895332432489855;0.2173975175556745;0.6593898961247048;0.34558930931860893;12.47795830307517;0.6593898961247048;10.127996830780416;0.4347950351113489;0.8733032817325781;0.96;1.0;0.9871258655249547;0.35495864582041;0.9843479503511134;0.35495864582041;0.965000034894377;0.9804548866769223;9.779435501114223;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001518_rendered.png
249;249;1045.34;386.12;0.968184;1092.45;494.95599999999996;0.844231;1045.39;480.335;0.884834;1030.69;624.493;0.8262309999999999;915.81;644.936;0.822443;1139.5;503.86199999999997;0.827717;1110.04;695.023;0.85167;957.096;745.23;0.798766;1074.82;765.763;0.6345029999999999;1045.29;742.206;0.616167;859.966;680.418;0.715508;974.696;839.3860000000001;0.376251;1115.99;789.315;0.59322;886.431;798.135;0.611478;977.59;865.822;0.165385;1024.88;368.467;0.9297850000000001;1068.79;365.32599999999996;0.951675;0.0;0.0;0.0;1115.83;380.162;0.904747;912.933;883.5939999999999;0.217156;927.638;898.15;0.177457;998.2560000000001;877.5310000000001;0.132717;909.949;877.5360000000001;0.302652;910.045;865.816;0.273832;1004.16;857.01;0.166769;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001524_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001524_rendered.png;0.21247787831241216;14.841685519083184;0.16521726878313978;2.6496426241035977;0.5591589191397663;0.14683446390359434;0.5419122879278422;0.32193205142504233;7.019100813966655;0.5419122879278422;7.510778310691906;0.29366892780718856;0.8631673559974039;0.96;1.0;0.98595932935152;0.35428529934271946;0.9829366892780719;0.35428529934271946;0.9618797701155433;0.9347421647747562;9.641229957288177;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001524_rendered.png
250;250;1048.24;388.871;0.976216;1092.54;497.885;0.850827;1045.24;483.082;0.856345;1036.48;624.575;0.803791;909.923;642.154;0.840501;1142.43;506.642;0.810042;1110.04;694.9739999999999;0.855908;960.0319999999999;742.319;0.830155;1077.73;768.7560000000001;0.642201;1045.3;745.202;0.624979;865.8710000000001;692.2289999999999;0.8018569999999999;962.9169999999999;845.247;0.400306;1118.93;792.2560000000001;0.627104;883.539;795.2410000000001;0.69313;980.676;862.971;0.36898600000000004;1027.77;371.32199999999995;0.888183;1068.98;365.523;0.9600549999999999;1021.76;391.91900000000004;0.10385699999999999;1115.89;380.19;0.916608;912.882;883.5;0.35927600000000004;930.6160000000001;898.2080000000001;0.3219;1004.17;865.8380000000001;0.281421;907.052;877.5319999999999;0.42246000000000006;907.0880000000001;868.783;0.380809;977.689;853.977;0.132874;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001530_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001530_rendered.png;0.024836699232657453;2.3741522962117827;0.16640894811636164;0.33664374663257657;0.17744300643987343;0.01603149231144818;0.17906139903088072;0.10870355967023268;5.675084741515862;0.17906139903088072;4.9762840478920545;0.032062984622896286;0.8548107301898566;1.0;1.0;0.9840229448603552;0.3762635679086309;0.9803206298462289;0.3762635679086309;0.9592672094606621;0.953505368326742;9.291557737356584;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001530_rendered.png
251;251;1048.33;386.19;0.974507;1095.32;497.897;0.8481139999999999;1045.4;483.12699999999995;0.8722620000000001;1036.56;627.4680000000001;0.780058;907.1080000000001;645.031;0.8479389999999999;1142.51;503.914;0.8094560000000001;1107.19;692.197;0.8615870000000001;962.944;748.145;0.7931590000000001;1074.86;771.671;0.654004;1045.31;748.1289999999999;0.626965;865.88;692.159;0.792378;971.805;839.387;0.452326;1116.05;798.143;0.626053;886.404;798.1419999999999;0.694545;977.695;862.846;0.168208;1030.64;368.439;0.8881870000000001;1071.8;365.449;0.96867;1021.86;388.972;0.185595;1115.93;383.11300000000006;0.938672;912.946;883.6439999999999;0.244315;930.5319999999999;901.058;0.204261;998.2819999999999;865.808;0.14841500000000002;907.074;871.7539999999999;0.480239;907.15;862.9;0.44607299999999994;998.278;856.952;0.214115;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001536_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001536_rendered.png;0.0016624009631514868;0.08857338351396958;0.0032366508888726497;0.022738206628140627;0.0001797927782125619;1.1639720252198948e-05;0.004824877252770295;0.0017307222808348331;0.29435816004672893;0.004824877252770295;0.07927828216517555;2.3279440504300237e-05;0.8537807628846175;1.0;1.0;0.9837869403646524;0.3786751646977255;0.980000232794405;0.3786751646977255;0.9589426611473924;0.9548000789665687;9.119096970357363;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001536_rendered.png
266;266;951.268;415.463;0.89476;1048.34;450.82599999999996;0.807272;971.6610000000001;459.68699999999995;0.769732;962.944;597.827;0.803741;959.9739999999999;715.6469999999999;0.5460470000000001;1136.58;436.028;0.718066;1236.58;659.775;0.804582;1236.68;856.9910000000001;0.787129;1089.49;762.8489999999999;0.5457609999999999;1021.9;745.1239999999999;0.492346;833.385;621.548;0.859772;621.446;906.9889999999999;0.730356;1154.23;789.285;0.532046;1021.67;689.112;0.776867;765.7360000000001;1004.2;0.519604;930.591;389.144;0.925947;974.665;385.98400000000004;0.935359;0.0;0.0;0.0;1045.32;356.55300000000005;0.8872629999999999;648.081;1045.25;0.22116799999999998;671.6;1048.42;0.183943;759.829;1024.7;0.18261;506.80800000000005;983.51;0.45712299999999995;506.722;974.7239999999999;0.438224;624.514;930.66;0.476046;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001626_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001626_rendered.png;0.04774526770010607;2.3157704700890718;0.034578340716157036;0.6358276051493857;0.05376405661169903;0.006243328538721782;0.11174371157896741;0.04006294747155006;3.585609814882585;0.11174371157896741;1.8376010524438038;0.012486657077443458;0.8507545821432603;0.96;1.0;0.9837964507696549;0.3694651119656457;0.9801248665707745;0.3694651119656457;0.957985828612321;0.9230250502049226;7.739457991611954;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001626_rendered.png
284;284;1236.8;480.281;0.9552440000000001;1216.08;600.802;0.791709;1139.49;580.289;0.687733;989.465;627.4590000000001;0.47811400000000004;907.068;624.575;0.220009;1298.49;618.5269999999999;0.723654;1168.93;671.4580000000001;0.863242;1024.85;692.0010000000001;0.800669;995.291;718.648;0.324397;968.841;680.424;0.285196;680.3860000000001;553.976;0.742188;427.276;859.903;0.627918;1018.9;759.8330000000001;0.322375;745.1339999999999;574.42;0.775347;521.476;910.039;0.526671;1239.61;459.776;0.879186;1277.85;477.337;0.9069950000000001;0.0;0.0;0.0;1321.97;530.354;0.8998430000000001;386.077;939.435;0.11036300000000002;430.17;951.039;0.09738569999999999;521.408;951.171;0.263887;341.944;942.326;0.191598;338.95300000000003;927.655;0.206473;412.564;871.7389999999999;0.273328;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001734_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001734_rendered.png;0.02698373310068322;1.6152835159081067;0.01865677872555796;0.3508967504600909;0.011651667460473969;0.0018790871122152941;0.06130394950107821;0.02608441408905602;1.97609931531786;0.06130394950107821;0.9879632066602079;0.0037581742244307465;0.8464902950496974;0.96;1.0;0.9836394457061368;0.3608644922058136;0.9800375817422443;0.3608644922058136;0.9566291940429857;0.8881438825968148;5.019295412088097;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001734_rendered.png;;
