;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;739.153;315.35400000000004;0.870466;698.127;692.18;0.629667;424.315;695.135;0.39529200000000003;368.50199999999995;1074.87;0.05728490000000001;0.0;0.0;0.0;983.545;689.182;0.47697399999999995;1024.68;1074.87;0.0996749;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;668.68;253.613;0.8609129999999999;792.332;259.474;0.8354870000000001;583.276;318.469;0.738258;862.8330000000001;315.508;0.737632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000000_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6098920309025684;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png
34;34;742.118;318.33;0.886292;709.857;686.2769999999999;0.587551;433.19300000000004;695.12;0.40375500000000003;371.408;1074.88;0.0514183;0.0;0.0;0.0;992.3539999999999;671.571;0.48541599999999996;1039.45;1074.82;0.180288;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;671.497;247.763;0.8947940000000001;804.008;250.78599999999997;0.849852;586.194;297.769;0.654766;859.9689999999999;297.837;0.610113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000204_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000204_rendered.png;0.09120606421594404;2.6370840205392;0.3443300982724386;0.7316511705095983;0.10061893013611867;0.0687671213538209;0.3708560943380082;0.20194328591231758;15.046913919158746;0.3708560943380082;6.2814489463740495;0.13753424270764164;0.7678290170146386;0.4;1.0;0.9834180679023877;0.21935710413072246;0.9813753424270765;0.21935710413072246;0.9297194209034376;0.3833539129764582;1.9955492849327183;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000204_rendered.png
35;35;780.47;424.339;0.23168200000000003;830.477;515.539;0.302195;718.6310000000001;574.433;0.213263;0.0;0.0;0.0;0.0;0.0;0.0;936.4580000000001;447.841;0.204755;0.0;0.0;0.0;0.0;0.0;0.0;1004.13;792.243;0.0576139;924.684;865.816;0.055858500000000005;0.0;0.0;0.0;0.0;0.0;0.0;1080.67;748.091;0.053593299999999996;0.0;0.0;0.0;0.0;0.0;0.0;745.132;409.559;0.248833;786.324;389.08;0.24721100000000001;718.58;430.20300000000003;0.238632;818.742;377.226;0.213385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000216_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000216_rendered.png;0.3845471220604322;11.776221309785136;0.3443300982724386;3.3062541990424474;0.6467088251073316;0.40896152476428604;0.9043909826665525;0.47412817410270786;14.998852833620704;0.9043909826665525;17.04635040221614;0.8179230495285725;0.8625138111009705;0.52;1.0;0.9897059798440531;0.25831640624722335;0.9881792304952858;0.25831640624722335;0.9616767662603827;0.7117244690013943;1.977480380639489;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000216_rendered.png
37;37;1045.19;197.80700000000002;0.919581;1042.32;309.468;0.8425889999999999;959.9789999999999;306.569;0.7930159999999999;948.172;447.85900000000004;0.815475;951.2130000000001;577.263;0.911166;1115.99;306.559;0.8322870000000001;1139.51;441.962;0.854316;1127.82;568.501;0.801859;1045.21;539.09;0.686759;998.1619999999999;539.1030000000001;0.6843779999999999;1001.33;745.13;0.789561;1018.8;930.48;0.8194389999999999;1092.33;539.109;0.68012;1092.41;745.193;0.774984;1092.31;930.591;0.851878;1024.64;180.03599999999997;0.9360700000000001;1062.94;180.071;0.8509629999999999;1001.14;197.782;1.00885;1077.74;200.579;0.9326979999999999;1095.32;977.612;0.730417;1115.92;971.826;0.722745;1083.65;945.299;0.6893729999999999;1018.9;971.799;0.705001;998.341;965.847;0.6839109999999999;1021.81;939.413;0.7253;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000342_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000342_rendered.png;0.6837125537211689;41.47263370477648;0.18422830489100714;7.135672862716034;1.125992981556672;0.5315539126073211;1.0310712027860356;0.623085123752642;15.568135620098548;1.0310712027860356;17.28945001047576;1.0631078252146422;0.9102306182321172;1.0;1.0;0.992126925290069;0.31932106557838;0.9906310782521465;0.31932106557838;0.9759376048024773;1.0481750447390745;2.0262224235427237;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000342_rendered.png
100;100;1027.65;197.81900000000002;0.9286639999999999;1027.65;303.709;0.865708;951.176;306.54900000000004;0.8458829999999999;930.7360000000001;433.079;0.845058;933.534;459.73699999999997;0.747031;1110.13;303.714;0.802081;1121.84;433.281;0.8419030000000001;1142.62;462.676;0.782265;1024.68;539.106;0.7410979999999999;974.76;539.0840000000001;0.7218979999999999;974.852;727.497;0.787292;980.563;927.54;0.8115760000000001;1071.93;539.095;0.717847;1071.76;739.32;0.815808;1068.92;927.695;0.8851530000000001;1015.89;180.115;0.8606940000000001;1045.45;180.023;0.9451209999999999;995.2719999999999;197.679;0.932853;1068.97;197.748;1.01122;1071.9;974.5880000000001;0.728273;1095.28;962.988;0.718778;1065.84;936.505;0.702106;980.69;971.7710000000001;0.715737;965.8489999999999;963.0010000000001;0.668513;989.382;933.5369999999999;0.711674;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000720_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000720_rendered.png;0.0010221860173149494;0.05732995352118726;0.0010150653356987838;0.013467561646161443;2.7773059389279986e-05;3.7333678688522554e-06;0.0027325328429464047;0.0010911155730360606;0.23005577374263253;0.0027325328429464047;0.046429540710312675;7.466735737780761e-06;0.848200850610569;1.0;1.0;0.9836535844238019;0.36535233963914165;0.9800000746673574;0.36535233963914165;0.9571745640957722;0.9043687580646361;0.43809415206671276;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000720_rendered.png;
129;129;1027.74;200.782;0.8982129999999999;1027.67;306.594;0.862238;951.137;306.605;0.840684;907.201;439.061;0.890238;965.937;436.125;0.876225;1110.07;306.626;0.800992;1139.62;439.045;0.9382149999999999;1089.43;456.56300000000005;0.8744120000000001;1024.78;545.0219999999999;0.742559;974.845;544.972;0.724344;977.7189999999999;739.257;0.814059;980.6010000000001;930.53;0.835709;1072.01;547.868;0.705579;1068.99;745.138;0.812376;1068.86;930.562;0.88625;1018.74;188.838;0.856509;1048.16;185.955;0.913084;995.2760000000001;200.55700000000002;0.931602;1068.97;197.834;1.01355;1071.9;974.808;0.758223;1092.53;968.8660000000001;0.758883;1065.85;945.247;0.704835;983.602;974.633;0.758599;968.788;968.8810000000001;0.707665;986.518;942.325;0.724723;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000894_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000894_rendered.png;0.0008605986222212509;0.0672426031422276;0.002891827285813553;0.011345230079942197;4.2805433350112665e-05;6.10211615925671e-06;0.0034934556414248545;0.0017208686308734158;0.22668401694218504;0.0034934556414248545;0.0638964338817372;1.2204232318603146e-05;0.848289833756659;1.0;1.0;0.9836556807012973;0.3655580965753739;0.9800001220423232;0.3655580965753739;0.9572028910545256;0.905153414182028;0.28252265123390147;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000894_rendered.png;;
200;200;1042.39;194.704;0.8761760000000001;1033.63;294.961;0.8740399999999999;954.113;294.822;0.898098;930.653;433.17199999999997;0.9274459999999999;892.29;547.856;0.827017;1115.94;300.681;0.863381;1133.58;439.02;0.8425950000000001;1186.75;553.743;0.921761;1024.68;547.893;0.754115;974.8;544.966;0.726625;977.698;751.0039999999999;0.7960020000000001;980.59;930.488;0.8449450000000001;1071.92;547.9159999999999;0.727472;1068.79;750.998;0.807113;1068.91;930.4639999999999;0.877223;1024.65;177.023;0.967008;1057.14;177.07299999999998;0.8795040000000001;1001.16;194.74400000000003;0.9351149999999999;1074.83;197.585;0.930158;1074.85;974.73;0.755506;1095.4;965.93;0.757273;1065.86;939.362;0.728432;983.505;974.653;0.803778;965.885;971.668;0.7396010000000001;989.4119999999999;936.528;0.741689;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001320_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001320_rendered.png;0.0010573986846355626;0.053473970299161296;0.0010884782502735002;0.01394969846091252;2.7633176118091463e-05;3.6330759558556025e-06;0.0026955800696763063;0.0009897068111948688;0.19325362559193185;0.0026955800696763063;0.04142398996350038;7.266151912036121e-06;0.8483988960781226;1.0;1.0;0.9836581808425477;0.36581214712619126;0.9800000726615191;0.36581214712619126;0.957237604213892;0.9061195009967137;0.2966838066355062;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001320_rendered.png;
233;233;1024.89;197.68;0.929184;1024.9;294.901;0.923218;951.1460000000001;294.942;0.882627;930.648;435.969;0.973535;1004.25;350.721;0.814293;1101.34;294.939;0.863093;1121.9;436.175;0.911581;1048.32;347.80800000000005;0.8429049999999999;1024.72;547.93;0.727375;974.82;547.927;0.70399;977.7669999999999;751.061;0.779086;980.683;930.654;0.8234370000000001;1071.93;547.911;0.691245;1068.92;754.0139999999999;0.812863;1068.98;930.5269999999999;0.891259;1012.99;177.265;0.8782479999999999;1045.4;177.215;0.953428;992.36;197.58700000000002;0.9167059999999999;1068.92;197.674;1.00347;1074.87;974.6669999999999;0.7535930000000001;1095.44;965.8710000000001;0.7541859999999999;1068.74;939.456;0.7375689999999999;980.66;974.638;0.739107;965.8739999999999;968.86;0.675373;992.312;948.164;0.75594;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001518_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001518_rendered.png;0.00050465179863804;0.030996263440851407;0.0013911955884136351;0.006629886557438729;1.4778293177641899e-05;2.138426058673204e-06;0.0020680551533485514;0.0008787713905608436;0.16526620538907547;0.0020680551533485514;0.03230474955337943;4.2768521172915e-06;0.8477649006192224;1.0;1.0;0.983643475309969;0.36434403326755754;0.9800000427685213;0.36434403326755754;0.9570357217814921;0.9005263651773147;0.20306808306680363;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001518_rendered.png;;
300;300;1030.61;194.639;0.8616309999999999;1024.91;294.78700000000003;0.9215629999999999;951.091;291.968;0.8784489999999999;927.4760000000001;435.986;0.9300930000000001;877.587;550.754;0.898042;1112.95;294.905;0.8560139999999999;1139.38;436.142;0.901336;1192.64;548.004;0.864409;1024.69;544.986;0.739336;974.8380000000001;542.081;0.7185239999999999;977.763;751.02;0.793938;980.6289999999999;930.6260000000001;0.825462;1071.91;544.9730000000001;0.7029920000000001;1068.9;756.888;0.806723;1069.01;930.571;0.8932399999999999;1018.81;174.294;0.929335;1048.29;176.99400000000003;0.969282;995.288;194.72;0.9106549999999999;1071.7;197.635;1.00891;1077.71;974.762;0.761423;1095.49;968.806;0.766441;1068.74;942.37;0.742599;983.503;974.617;0.735058;965.8989999999999;968.852;0.680728;989.442;945.308;0.734974;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001920_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001920_rendered.png;0.0006725642808162335;0.04697886944415119;0.0008802187905648656;0.00886963081001154;1.0787812503409988e-05;1.6783815318666129e-06;0.0018321471184092292;0.0008412640759361366;0.11774934675049736;0.0018321471184092292;0.03597276199185429;3.3567630634952425e-06;0.8483447245092515;1.0;1.0;0.9836568961724503;0.36568687424406765;0.9800000335676305;0.36568687424406765;0.9572203628886792;0.9056416166884288;0.21117131103281403;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001920_rendered.png;
334;334;1027.7;197.533;0.897919;1024.92;297.767;0.902839;951.153;297.769;0.8753549999999999;930.6419999999999;439.12699999999995;0.897651;883.557;553.87;0.9268549999999999;1110.05;297.807;0.8389690000000001;1127.8;436.26800000000003;0.860369;1186.7;553.804;0.9209809999999999;1024.88;542.033;0.7287560000000001;977.6189999999999;539.139;0.718083;977.817;742.0939999999999;0.8181069999999999;980.577;927.5160000000001;0.816667;1074.85;539.133;0.683519;1071.71;742.334;0.8378760000000001;1071.7;927.6260000000001;0.879064;1015.89;177.13299999999998;0.8975569999999999;1045.47;177.11900000000003;0.9617950000000001;995.202;194.794;0.908175;1068.94;197.597;0.9986889999999999;1074.79;974.617;0.777517;1095.48;965.847;0.744518;1068.73;933.559;0.744354;980.6080000000001;971.778;0.760648;962.946;965.836;0.700624;989.444;933.488;0.73311;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000002124_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002124_rendered.png;0.00019189862951042163;0.014652124565845298;0.0004716750364185951;0.002531907836411662;3.77564898002003e-06;5.231765241031638e-07;0.0010229139983800202;0.0004837588840009615;0.11434888673324227;0.0010229139983800202;0.018335252243224385;1.0463530480818e-06;0.848415865416704;1.0;1.0;0.9836585337114828;0.36585251620067705;0.9800000104635305;0.36585251620067705;0.9572430047640029;0.9062716805700288;0.13142706562797235;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002124_rendered.png;;
400;400;1039.49;197.71200000000002;0.8936719999999999;1036.51;300.741;0.8313360000000001;954.2;297.876;0.8474780000000001;942.3810000000001;439.059;0.8346049999999999;901.0219999999999;553.839;0.887266;1115.9;303.63;0.8357;1130.67;439.14;0.833601;1186.62;553.871;0.917904;1030.63;542.068;0.678663;980.6260000000001;539.104;0.6849350000000001;980.564;745.164;0.8001739999999999;980.543;915.8860000000001;0.791762;1083.58;542.076;0.654574;1071.81;745.097;0.828276;1071.8;924.6110000000001;0.8335600000000001;1021.86;177.27900000000002;0.9377610000000001;1051.33;177.234;0.8810979999999999;998.4010000000001;197.61900000000003;0.982648;1072.02;197.59799999999998;0.940285;1074.79;971.7860000000001;0.7840159999999999;1095.5;960.043;0.758246;1068.79;930.5319999999999;0.761023;983.5880000000001;965.923;0.780906;965.932;957.153;0.7529939999999999;989.4119999999999;927.587;0.711064;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000002520_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002520_rendered.png;0.0007125807133774802;0.035192599356929234;0.0007971301959040222;0.009402719305545724;1.0931181490203556e-05;1.4661045865116407e-06;0.0017123694615928113;0.0006272861430985031;0.11646225415916024;0.0017123694615928113;0.02866873770874049;2.9322091729956545e-06;0.8484311515628573;1.0;1.0;0.9836589016352066;0.3658877677412251;0.9800000293220917;0.3658877677412251;0.9572478694995765;0.90640632804751;0.17685103426099316;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002520_rendered.png;
440;440;1033.58;197.817;0.890566;1030.67;309.48900000000003;0.8395969999999999;954.043;303.686;0.846669;936.454;450.80699999999996;0.8361729999999999;886.5319999999999;568.499;0.842599;1115.84;312.389;0.833195;1124.89;447.865;0.8158479999999999;1186.73;565.607;0.861137;1024.89;547.938;0.73142;977.6289999999999;544.998;0.709286;977.815;748.078;0.799883;980.6410000000001;927.618;0.819284;1074.89;550.7819999999999;0.684412;1069.03;745.2230000000001;0.806758;1068.99;927.686;0.876957;1021.67;180.106;0.902914;1048.41;180.093;0.8973760000000001;998.2339999999999;197.72299999999998;0.995842;1071.87;197.827;1.0055399999999999;1077.7;974.806;0.755935;1095.54;968.834;0.747049;1065.94;936.459;0.731953;980.635;974.635;0.75831;962.948;968.798;0.68101;992.31;933.607;0.719396;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000002760_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002760_rendered.png;0.0010341133823594327;0.07249956148378604;0.0013514138275616955;0.013662125830273868;2.3717040856019445e-05;3.6078392705585216e-06;0.002686201507879639;0.001242357814378099;0.18386682380869737;0.002686201507879639;0.05542851778068599;7.215678540934847e-06;0.8486165821788759;1.0;1.0;0.9836632451181303;0.366318617753175;0.9800000721567854;0.366318617753175;0.9573068717959676;0.9080471450358806;0.15921285500267068;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002760_rendered.png;;
476;476;886.497;188.857;0.842835;824.654;368.417;0.77496;698.1210000000001;368.463;0.650656;671.433;642.099;0.8497809999999999;612.687;874.605;0.739283;948.1569999999999;368.35;0.753112;974.778;621.461;0.836061;1092.36;786.447;0.8631530000000001;845.166;812.836;0.526853;762.773;818.7;0.490338;0.0;0.0;0.0;0.0;0.0;0.0;927.571;809.8430000000001;0.536523;924.645;1045.37;0.0913889;0.0;0.0;0.0;851.086;162.357;0.8431040000000001;901.028;162.386;0.820593;765.7589999999999;194.692;0.915902;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000002976_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002976_rendered.png;0.4002476330158157;26.023905418715366;0.17976210368898815;4.6858784489492304;0.9380219522099303;0.31035338695247683;0.7878494614486663;0.45207284927264857;8.686389402238792;0.7878494614486663;11.873675988657372;0.6207067739049534;0.8821866902879043;1.0;1.0;0.9885684119989289;0.34239916722633174;0.9862070677390495;0.34239916722633174;0.9676919322806629;0.9854648054867163;1.990752609160666;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000002976_rendered.png
500;20;883.6030000000001;191.803;0.876459;818.684;377.219;0.7580600000000001;698.1039999999999;377.224;0.635433;671.677;645.191;0.8597309999999999;621.433;880.4839999999999;0.7939039999999999;933.543;377.186;0.7359180000000001;962.957;624.539;0.79375;1069.03;809.78;0.87097;842.332;812.8430000000001;0.5144770000000001;762.87;818.7139999999999;0.485683;0.0;0.0;0.0;0.0;0.0;0.0;927.485;806.975;0.523976;907.043;1048.26;0.102346;0.0;0.0;0.0;848.1669999999999;162.42600000000002;0.839931;898.191;168.299;0.8425860000000001;765.638;194.669;0.9220969999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000003120_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003120_rendered.png;0.0004925549464295377;0.015547853814702584;0.0007530253563430289;0.005042820200518459;2.9801592256184506e-06;1.419147080183869e-06;0.001684723763849351;0.000658693241082707;0.19323623953038846;0.001684723763849351;0.03265205037922758;2.8382941604787235e-06;0.8046512753435137;0.6;1.0;0.9828291314092134;0.28291070411907326;0.9800000283829416;0.28291070411907326;0.9427793301810349;0.5878054564196932;2.108662473034492;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003120_rendered.png;
509;29;883.592;194.66;0.886101;818.7289999999999;377.25699999999995;0.751451;698.1;377.213;0.6344569999999999;674.465;647.906;0.846232;621.641;880.422;0.777522;933.573;380.156;0.737738;957.135;624.519;0.8167409999999999;1068.8;806.95;0.837152;842.2739999999999;815.7589999999999;0.525413;762.757;821.663;0.48121499999999995;0.0;0.0;0.0;0.0;0.0;0.0;927.5219999999999;809.878;0.540734;910.0160000000001;1048.25;0.0687014;0.0;0.0;0.0;851.054;168.222;0.8481120000000001;898.193;171.178;0.8517629999999999;765.6489999999999;194.78;0.9231540000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000003174_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003174_rendered.png;0.0006443897455302378;0.03742280455918586;0.0007140853305910855;0.006600045224091258;4.566125910820951e-06;2.2501665932761483e-06;0.0021213988749966537;0.001117370794136809;0.23065763325915423;0.0021213988749966537;0.04535313973687308;4.500333186837069e-06;0.804732157533153;0.6;1.0;0.9828303939014814;0.28303552669203413;0.9800000450033319;0.28303552669203413;0.942807086811212;0.588275502260477;2.101111990006694;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003174_rendered.png
516;36;1039.46;197.644;0.8934610000000001;1030.69;294.996;0.869634;954.057;294.882;0.8922370000000001;930.716;436.164;0.9023370000000001;883.427;553.814;0.936685;1115.91;297.884;0.849123;1136.61;439.084;0.861733;1189.74;550.9730000000001;0.8890459999999999;1027.68;542.085;0.7148909999999999;977.725;539.163;0.706037;980.556;748.058;0.797673;980.643;927.701;0.8264040000000001;1077.7;542.085;0.6777380000000001;1068.99;751.051;0.8138479999999999;1069.02;930.5060000000001;0.877252;1021.84;177.21099999999998;0.9513229999999999;1054.15;177.243;0.878358;998.315;197.592;0.967511;1074.75;197.68400000000003;0.942796;1077.74;974.805;0.7458859999999999;1095.53;968.816;0.7404069999999999;1068.76;939.436;0.736112;983.544;974.615;0.7636069999999999;965.872;968.83;0.6920109999999999;989.457;939.3580000000001;0.729058;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000003216_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003216_rendered.png;0.3998101224962057;26.085616948803306;0.1790623219651078;4.6815633816126345;0.9341232439828019;0.30902996672353433;0.7861678786665535;0.45165015817547866;8.679822023790859;0.7861678786665535;11.850900524356746;0.6180599334470688;0.8819809575875869;1.0;1.0;0.9885463557028227;0.34238190578742045;0.9861805993344707;0.34238190578742045;0.9676300352114452;0.9845449714750524;1.4229000354233745;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003216_rendered.png
557;77;1033.59;197.66299999999998;0.885336;1027.69;297.879;0.880941;951.187;297.77099999999996;0.8695579999999999;930.51;444.931;0.881561;883.39;559.748;0.8840889999999999;1112.98;300.767;0.8194809999999999;1130.73;444.986;0.8123090000000001;1189.5;556.798;0.8879940000000001;1024.76;544.997;0.744825;974.836;544.951;0.720437;977.788;748.0939999999999;0.796481;980.67;930.596;0.820415;1074.73;544.965;0.698408;1068.94;748.046;0.8051;1068.97;930.586;0.8845379999999999;1021.64;177.22400000000002;0.9234469999999999;1048.4;177.215;0.925954;995.378;197.555;0.945343;1071.77;197.66299999999998;0.9948020000000001;1074.87;974.7439999999999;0.760879;1095.43;968.7739999999999;0.76277;1066.0;942.393;0.7411369999999999;980.6060000000001;974.5930000000001;0.737971;962.944;968.801;0.6707850000000001;992.329;945.265;0.7311380000000001;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000003462_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003462_rendered.png;0.0003863792687189292;0.021210538371125524;0.0005193957944756022;0.005100668690116886;6.459116626000849e-06;8.310343178052904e-07;0.001289212408945258;0.0005262695787153482;0.10511708311533938;0.001289212408945258;0.019777448630061874;1.6620686353784346e-06;0.8484987082681338;1.0;1.0;0.9836604642180993;0.3660450639373022;0.9800000166206864;0.3660450639373022;0.9572693675584755;0.9070047611048299;0.12552386395877924;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003462_rendered.png;;
593;113;859.953;291.853;0.9132680000000001;762.86;580.276;0.7068939999999999;568.565;583.269;0.516575;542.087;1001.18;0.633045;0.0;0.0;0.0;951.191;574.384;0.66264;1007.13;983.566;0.47408;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;806.84;247.847;0.8765620000000001;880.6460000000001;250.787;0.8790459999999999;668.7389999999999;288.871;0.880957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000003678_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003678_rendered.png;0.6348268258090366;38.87682942094642;0.2595241973323785;6.702010877582285;1.119162370057135;0.5132404389308678;1.0131539260456603;0.5987467823839198;7.903230604054525;1.0131539260456603;16.23733304686513;1.0264808778617354;0.907786474021006;1.0;1.0;0.9918306601121658;0.32168887039611077;0.9902648087786173;0.32168887039611077;0.9752337833858917;1.0433164984439198;0.564165566609473;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000003678_rendered.png
